FIPS,State,County,Food,Medical,Housing,Transportation,Civic,Other,Required annual income after taxes,Annual taxes,Required annual income before taxes
37107,North Carolina,Lenoir County,7238,7548,8640,11672,3554,5144,43797,10779,54576
37109,North Carolina,Lincoln County,7238,7548,9600,11672,3554,5144,44757,11015,55772
37111,North Carolina,McDowell County,7238,7548,8052,11672,3554,5144,43209,10634,53843
37113,North Carolina,Macon County,7238,7548,8952,11672,3554,5144,44109,10855,54964
37115,North Carolina,Madison County,7238,7548,15060,11672,3554,5144,50217,12359,62576
37117,North Carolina,Martin County,7238,7548,8052,11672,3554,5144,43209,10634,53843
37119,North Carolina,Mecklenburg County,7238,7548,12756,11672,3554,5144,47913,11792,59705
37121,North Carolina,Mitchell County,7238,7548,8052,11672,3554,5144,43209,10634,53843
37123,North Carolina,Montgomery County,7238,7548,8052,11672,3554,5144,43209,10634,53843
37125,North Carolina,Moore County,7238,7548,9696,11672,3554,5144,44853,11039,55892
37127,North Carolina,Nash County,7238,7548,9036,11672,3554,5144,44193,10876,55069
37129,North Carolina,New Hanover County,7238,7548,11592,11672,3554,5144,46749,11505,58254
37131,North Carolina,Northampton County,7238,7548,8052,11672,3554,5144,43209,10634,53843
37133,North Carolina,Onslow County,7238,7548,11040,11672,3554,5144,46197,11369,57566
37135,North Carolina,Orange County,7238,7548,13056,11672,3554,5144,48213,11865,60078
37137,North Carolina,Pamlico County,7238,7548,9096,11672,3554,5144,44253,10891,55144
37139,North Carolina,Pasquotank County,7238,7548,9456,11672,3554,5144,44613,10980,55592
37141,North Carolina,Pender County,7238,7548,9084,11672,3554,5144,44241,10888,55129
37143,North Carolina,Perquimans County,7238,7548,9840,11672,3554,5144,44997,11074,56071
37145,North Carolina,Person County,7238,7548,8676,11672,3554,5144,43833,10788,54620
37147,North Carolina,Pitt County,7238,7548,9300,11672,3554,5144,44457,10941,55398
37149,North Carolina,Polk County,7238,7548,8952,11672,3554,5144,44109,10855,54964
37151,North Carolina,Randolph County,7238,7548,10056,11672,3554,5144,45213,11127,56340
